Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D_0,1N4148W,D_SOD-123,50.748800,-136.281700,90.000000,bottom
D_1,1N4148W,D_SOD-123,88.793800,-136.301700,90.000000,bottom
D_2,1N4148W,D_SOD-123,107.868800,-136.301700,90.000000,bottom
D_3,1N4148W,D_SOD-123,126.918800,-136.301700,90.000000,bottom
D_4,1N4148W,D_SOD-123,145.993800,-136.301700,90.000000,bottom
D_5,1N4148W,D_SOD-123,174.543800,-136.276700,90.000000,bottom
D_6,1N4148W,D_SOD-123,193.618800,-136.301700,90.000000,bottom
D_7,1N4148W,D_SOD-123,212.718800,-136.301700,90.000000,bottom
D_8,1N4148W,D_SOD-123,231.718800,-136.301700,90.000000,bottom
D_9,1N4148W,D_SOD-123,260.293800,-136.301700,90.000000,bottom
D_10,1N4148W,D_SOD-123,279.343800,-136.301700,90.000000,bottom
D_11,1N4148W,D_SOD-123,298.393800,-136.301700,90.000000,bottom
D_12,1N4148W,D_SOD-123,317.418800,-136.276700,90.000000,bottom
D_13,1N4148W,D_SOD-123,341.450000,-136.300000,90.000000,bottom
D_14,1N4148W,D_SOD-123,360.268800,-136.301700,90.000000,bottom
D_15,1N4148W,D_SOD-123,362.818800,-136.301700,90.000000,bottom
D_16,1N4148W,D_SOD-123,50.843800,-159.651700,90.000000,bottom
D_17,1N4148W,D_SOD-123,69.893800,-159.651700,90.000000,bottom
D_18,1N4148W,D_SOD-123,88.943800,-159.651700,90.000000,bottom
D_19,1N4148W,D_SOD-123,107.993800,-159.651700,90.000000,bottom
D_20,1N4148W,D_SOD-123,127.043800,-159.651700,90.000000,bottom
D_21,1N4148W,D_SOD-123,146.093800,-159.651700,90.000000,bottom
D_22,1N4148W,D_SOD-123,165.143800,-159.651700,90.000000,bottom
D_23,1N4148W,D_SOD-123,184.193800,-159.651700,90.000000,bottom
D_24,1N4148W,D_SOD-123,203.243800,-159.651700,90.000000,bottom
D_25,1N4148W,D_SOD-123,222.293800,-159.651700,90.000000,bottom
D_26,1N4148W,D_SOD-123,241.343800,-159.651700,90.000000,bottom
D_27,1N4148W,D_SOD-123,260.393800,-159.651700,90.000000,bottom
D_28,1N4148W,D_SOD-123,279.443800,-159.651700,90.000000,bottom
D_29,1N4148W,D_SOD-123,305.618800,-157.826700,90.000000,bottom
D_30,1N4148W,D_SOD-123,336.593800,-159.651700,90.000000,bottom
D_31,1N4148W,D_SOD-123,355.643800,-159.651700,90.000000,bottom
D_32,1N4148W,D_SOD-123,358.018800,-159.651700,90.000000,bottom
D_33,1N4148W,D_SOD-123,55.605000,-178.651700,90.000000,bottom
D_34,1N4148W,D_SOD-123,79.368800,-178.651700,90.000000,bottom
D_35,1N4148W,D_SOD-123,98.418800,-178.651700,90.000000,bottom
D_36,1N4148W,D_SOD-123,117.468800,-178.651700,90.000000,bottom
D_37,1N4148W,D_SOD-123,136.518800,-178.651700,90.000000,bottom
D_38,1N4148W,D_SOD-123,155.568800,-178.651700,90.000000,bottom
D_39,1N4148W,D_SOD-123,174.618800,-178.651700,90.000000,bottom
D_40,1N4148W,D_SOD-123,193.668800,-178.651700,90.000000,bottom
D_41,1N4148W,D_SOD-123,212.718800,-178.651700,90.000000,bottom
D_42,1N4148W,D_SOD-123,231.768800,-178.651700,90.000000,bottom
D_43,1N4148W,D_SOD-123,250.818800,-178.651700,90.000000,bottom
D_44,1N4148W,D_SOD-123,269.868800,-178.651700,90.000000,bottom
D_45,1N4148W,D_SOD-123,288.918800,-178.651700,90.000000,bottom
D_46,1N4148W,D_SOD-123,312.718800,-186.351700,90.000000,bottom
D_47,1N4148W,D_SOD-123,338.918800,-175.901700,90.000000,bottom
D_48,1N4148W,D_SOD-123,358.068800,-176.011700,90.000000,bottom
D_49,1N4148W,D_SOD-123,360.568800,-176.011700,90.000000,bottom
D_50,1N4148W,D_SOD-123,58.028500,-184.351700,270.000000,bottom
D_51,1N4148W,D_SOD-123,84.268800,-184.351700,270.000000,bottom
D_52,1N4148W,D_SOD-123,103.318800,-184.351700,270.000000,bottom
D_53,1N4148W,D_SOD-123,122.368800,-184.351700,270.000000,bottom
D_54,1N4148W,D_SOD-123,141.418800,-184.351700,270.000000,bottom
D_55,1N4148W,D_SOD-123,160.468800,-184.351700,270.000000,bottom
